freq,age,indic_he,unit,sex,icd10,geo,time,value
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,CY,2017,24.2
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,CZ,2017,92.3
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,DE,2017,162.4
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,EE,2017,58.9
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,ES,2017,106.2
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,FI,2017,146.3
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,FR,2017,43.4
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,HR,2017,155.0
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,HU,2017,181.4
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,IE,2017,71.6
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,IS,2017,41.9
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,IT,2017,76.1
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,LI,2017,10.5
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,LT,2017,71.1
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,LV,2017,20.4
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,ME,2017,4.8
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,MT,2017,25.6
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,NL,2017,25.1
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,NO,2017,73.5
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,PL,2017,46.9
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,RO,2017,109.3
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,RS,2017,15.8
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,SE,2017,99.3
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,SI,2017,130.9
A,TOTAL,INPAT,P_HTHAB,T,A40_A41,SK,2017,75.7
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,AT,2017,66.1
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,BE,2017,28.7
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,BG,2017,125.3
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,CH,2017,39.5
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,CY,2017,35.3
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,CZ,2017,99.1
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,DE,2017,45.0
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,ES,2017,47.2
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,FI,2017,27.3
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,FR,2017,43.1
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,HR,2017,63.0
