freq,age,indic_he,unit,sex,icd10,geo,time,value
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,DE,2021,38.6
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,ES,2021,29.9
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,FI,2021,24.8
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,FR,2021,40.6
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,HR,2021,61.5
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,HU,2021,74.5
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,IE,2021,103.0
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,IT,2021,43.2
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,LI,2021,7.7
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,LT,2021,58.8
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,LV,2021,116.9
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,ME,2021,53.8
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,NL,2021,16.2
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,NO,2021,39.8
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,PL,2021,95.2
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,PT,2021,24.3
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,RO,2021,82.7
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,RS,2021,56.8
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,SE,2021,32.1
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,SI,2021,78.6
A,TOTAL,INPAT,P_HTHAB,T,ABORT_OTH,SK,2021,60.4
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,AT,2021,290.1
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,BE,2021,208.0
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,BG,2021,280.1
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,CH,2021,381.8
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,CY,2021,71.7
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,CZ,2021,118.7
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,DE,2021,303.8
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,ES,2021,98.9
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,FI,2021,141.8
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,FR,2021,152.3
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,HR,2021,117.6
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,HU,2021,130.9
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,IE,2021,94.8
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,IT,2021,63.5
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,LI,2021,45.9
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,LT,2021,201.2
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,LV,2021,110.8
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,ME,2021,66.2
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,NL,2021,52.2
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,NO,2021,120.6
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,PL,2021,159.2
A,TOTAL,INPAT,P_HTHAB,T,ARTHROPAT_OTH,PT,2021,50.0
